name,line,lat,lon,type
Автобусная остановка,,41.3480091,69.3162616,bus
Аграр университет Сельхоз,,41.3606435,69.3385253,bus
Kardiologiya markazi,,41.3250181,69.2989751,bus
34-поликлиника бекати,,41.3611832,69.1817071,bus
,,41.3490887,69.2147153,bus
,,41.3518802,69.2120668,bus
,,41.3549089,69.2091902,bus
Yunusobod dahasi 18-mavze,,41.3717468,69.3171569,bus
,,41.3712816,69.3108516,bus
Yunusobod dahasi 18-mavze,,41.371751,69.3165009,bus
,,41.2274822,69.1961126,bus
,,41.2528868,69.2157664,bus
Олтинтепа (Циолковского),,41.3133996,69.3310651,bus
Олтинтепа (Циолковского),,41.3125696,69.3313246,bus
Chilonzor dahasi 23-mavze,,41.289562,69.1813789,bus
Xalqlar Doʻstligi metro bekati,,41.3116459,69.241876,bus
,,41.303887,69.3131716,bus
Военная часть,,41.3039341,69.3195529,bus
,,41.3047819,69.326493,bus
,,41.3052066,69.3317053,bus
Elbek ko'chasi,,41.3011419,69.2971712,bus
Oʻzgarish mavzesi,,41.2156399,69.2122865,bus
,,41.2236007,69.2115168,bus
,,41.2264628,69.21846,bus
,,41.2251464,69.21517,bus
Журжоний,,41.2984985,69.1744272,bus
,,41.3512404,69.3808632,bus
Агрошкола,,41.3490695,69.3679148,bus
ГУВД,,41.3358848,69.3538566,bus
Дагестанская,,41.3223898,69.3263987,bus
Дагестанская,,41.3227554,69.3265543,bus
,,41.3149233,69.3273416,bus
,,41.3153245,69.3285262,bus
Farhod bozori,,41.2871139,69.1852342,bus
,,41.3279165,69.2137327,bus
,,41.2805774,69.2549422,bus
Nevrologiya sanatoriyasi,,41.3418814,69.3602434,bus
Shofayziy ko'chasi,,41.3190747,69.1970442,bus
,,41.3180609,69.1963173,bus
Qo'yliq dahasi 6-mavze,,41.2443429,69.2889369,bus
Qo'yliq dahasi 5-mavze,,41.2443387,69.2934952,bus
M.Ulugbek tuman prokuraturasi,,41.3199544,69.3195473,bus
M.Ulugbek tuman prokuraturasi,,41.3209903,69.3210482,bus
Массив Шодлик,,41.3749836,69.2995601,bus
Массив Шодлик,,41.3751156,69.2992233,bus
AYOQSH,,41.37386,69.3083332,bus
AYOQSH,,41.3738738,69.3094526,bus
