name,line,lat,lon,type
Fedorovich nomli sanatoriyasi,,41.2996486,69.2827322,bus
,,41.2910113,69.3583078,bus
,,41.292153,69.3564127,bus
,,41.2855127,69.3600002,bus
,,41.2802848,69.3608352,bus
,,41.281285,69.3613651,bus
,,41.2770076,69.3620584,bus
,,41.2755655,69.3616355,bus
,,41.2690495,69.3655072,bus
,,41.2931225,69.3571504,bus
,,41.2953725,69.3622102,bus
конечный 166 of minibus,,41.2928602,69.3696907,bus
Абу Али ибн Сино-2,,41.3343492,69.163756,bus
Turar joy,,41.3434174,69.16517,bus
Шифокор 1 улица,,41.3591706,69.1717181,bus
Шифокор 1 улица,,41.3598642,69.1728667,bus
пост ГАИ,,41.3464728,69.1651498,bus
,,41.3608238,69.1740576,bus
транспортный колледж,,41.3459344,69.1654577,bus
Махалля Фуркат,,41.3271488,69.159699,bus
Махалля Фуркат,,41.3280136,69.1599158,bus
,,41.2934246,69.2456443,bus
Ракат маркет,,41.293482,69.246167,bus
,,41.2931491,69.2499073,bus
,,41.2930831,69.2497737,bus
Temiryo'lchilar poliklinikasi,,41.2867004,69.2830125,bus
ГНИ Алмазарского района,,41.3509788,69.2419748,bus
Кара камыш 1/1,,41.351798,69.2388647,bus
Каракамыш 1/1,,41.3520264,69.2387392,bus
ГНИ Алмазарского района,,41.3515911,69.24223,bus
,,41.2123,69.2379283,bus
,,41.3717882,69.2650158,bus
Родильный дом #2,,41.3463515,69.2414818,bus
,,41.3669132,69.2698215,bus
Кара Камыш 1/2,,41.3561926,69.2390667,bus
,,41.3669444,69.2707678,bus
Сергели 4,,41.2195067,69.2430451,bus
,,41.2181021,69.2403309,bus
,,41.2179615,69.2393414,bus
Ярмарка,,41.2141175,69.2287265,bus
,,41.2140997,69.2305846,bus
Финансовый,,41.2102131,69.232479,bus
"Сергели-4 ""Переезд""",,41.216118,69.2443156,bus
Автосалон,,41.2193079,69.243157,bus
,,41.216176,69.2357515,bus
Ярмарка,,41.2127788,69.2295715,bus
Хокимият,,41.2207439,69.2235271,bus
,,41.2157474,69.2340592,bus
,,41.2127068,69.2377469,bus
Финансовый,,41.2104626,69.2323516,bus
Ярмарка,,41.2124968,69.2296072,bus
Sirg'ali tuman hokimiyati,,41.2200948,69.2241343,bus
Yunusobod dahasi 13-mavze,,41.3695601,69.2939979,bus
Кисловодск,,41.3456241,69.2768266,bus
Остановка,,41.3533236,69.3479715,bus
Shaxlo kafesi,,41.2543198,69.3436991,bus
Shaxlo kafesi,,41.2544118,69.3435061,bus
Микрорайон З. Шамсутдиновой,,41.258136,69.3410827,bus
Микрорайон З. Шамсутдиновой,,41.2575959,69.3413267,bus
Шифокорлар бозорчаси бекати,,41.3633799,69.1850551,bus
,,41.3640719,69.1853116,bus
34-поликлиника бекати,,41.3612518,69.181708,bus
,,41.3459156,69.2769213,bus
Ташгрэс (конечка),,41.3867303,69.3711373,bus
Chilonzor IIB,,41.2903476,69.2008026,bus
Jarariq,,41.3398268,69.1756113,bus
Temiryo'chilar kolleji,,41.2806318,69.2774226,bus
Fedorovich nomli sanatoriyasi,,41.3006705,69.2837637,bus
Chambil ko'chasi,,41.2841643,69.2803114,bus
Chambil ko'chasi,,41.2844694,69.2806884,bus
Кафолат,,41.2895031,69.150017,bus
,,41.2545176,69.1560554,bus
,,41.311682,69.1932566,bus
Akademiklar shaharchasi,,41.3399859,69.3409409,bus
ПоликлиникаNo59,,41.2710015,69.237778,bus
,,41.3328703,69.2989093,bus
,,41.3329474,69.2982016,bus
Школа №111,,41.3389813,69.2214724,bus
Институт санитарии,,41.3205485,69.3428,bus
Институт санитарии,,41.3207827,69.3434837,bus
Oltintepa 5-o'tish ko'chasi,,41.3143808,69.3346142,bus
Махалля Фидойилар,,41.3041271,69.3125079,bus
,,41.3047981,69.3253074,bus
Военная часть,,41.3041593,69.3200233,bus
,,41.3050123,69.3076634,bus
Хосилот,,41.2662858,69.2325329,bus
Братские могилы,,41.2684806,69.2349796,bus
Стадион,,41.2743953,69.2415332,bus
,,41.2983363,69.1941352,bus
,,41.2973114,69.1939203,bus
Tabassum kafesi,,41.2516267,69.2173484,bus
Choponota mahallasi,,41.292915,69.1940688,bus
,,41.289758,69.1942111,bus
,,41.2862038,69.1943765,bus
Jarrohlik markazi,,41.2697692,69.2118491,bus
Ozgarish qo'rg'oni,,41.2474716,69.2180251,bus
Sergeli avto bozori,,41.2348805,69.2147237,bus
Shirin ko'chasi,,41.2854925,69.1712328,bus
Ozgarish qo'rg'oni,,41.248557,69.2180256,bus
Chilonzor dahasi 21-mavze,,41.2894153,69.1736889,bus
Sverdlovsk uylari,,41.2916786,69.178467,bus
Sverdlovsk uylari,,41.2914637,69.1794016,bus
Chilonzor dahasi 21-mavze,,41.2896479,69.1743148,bus
Do'kon,,41.2852028,69.1755737,bus
Фрегат,,41.273838,69.2405933,bus
Sergeli avto bozori,,41.2356596,69.2144463,bus
Братские могилы,,41.2689381,69.2351615,bus
,,41.3072012,69.206949,bus
Turkiston metro bekati,,41.3750787,69.2949285,bus
Maishiy xizmat uyi,,41.379167,69.296129,bus
Lokomotiv Stadioni,,41.3601935,69.3900437,bus
Lokomotiv Stadioni,,41.3595676,69.3887169,bus
,,41.3585173,69.3849322,bus
Yunusobod dahasi 11-mavze,,41.3726536,69.2942049,bus
Paynet,,41.3205979,69.3550258,bus
Oybek mahalla,,41.3653069,69.3408743,bus
ToshGRES mavzesi,,41.3588393,69.3389918,bus
Автобусная остановка,,41.3628799,69.3338393,bus
Oybek mahalla,,41.3653192,69.3409775,bus
,,41.352096,69.3310027,bus
,,41.354968,69.3345485,bus
Agrar instuti,,41.3613461,69.3387283,bus
Oybek maxalladi,,41.3626163,69.3396625,bus
,,41.3543834,69.3335542,bus
Автобусная остановка,,41.3496157,69.3197677,bus
Автобусная остановка,,41.347637,69.3147106,bus
