card_id,area,number_rooms,furniture,condition,date
4ebbt,65,2,1,Евроремонт,2025-12-03
45dEd,73,2,1,Авторский проект,2025-12-03
4ef9E,60,2,1,Авторский проект,2025-12-03
4ef8v,35,1,0,Авторский проект,2025-12-03
4d47o,90,3,1,Евроремонт,2025-12-03
47w6Y,55,2,1,,2025-12-03
2rKTt,80,3,1,Евроремонт,2025-12-03
4d42w,40,1,0,Средний,2025-12-03
4d42l,60,2,1,Средний,2025-12-03
3MwdY,50,1,1,Авторский проект,2025-12-02
4eeY0,75,2,1,Авторский проект,2025-12-02
48JAb,59,2,1,Средний,2025-12-02
4ebjA,60,2,1,Авторский проект,2025-12-02
4eetc,80,2,1,Евроремонт,2025-12-02
40RxV,150,2,1,Евроремонт,2025-12-02
4dPYp,90,3,1,Евроремонт,2025-12-02
4een2,80,3,1,Средний,2025-12-02
4eepr,56,2,1,,2025-12-02
4drx6,88,3,1,Евроремонт,2025-12-02
4eeoq,76,3,1,Евроремонт,2025-12-02
354vk,105,3,1,Авторский проект,2025-12-02
4eeic,56,2,1,,2025-12-02
4d3g0,50,2,0,Авторский проект,2025-12-02
4eed9,45,2,0,Средний,2025-12-02
37Kiv,1,3,1,Авторский проект,2025-12-02
4bls9,48,2,0,Евроремонт,2025-12-02
40C5f,56,2,1,Авторский проект,2025-12-02
4dPAU,44,1,1,Евроремонт,2025-12-02
35tvY,56,2,1,Авторский проект,2025-12-02
40BBb,78,4,1,Авторский проект,2025-12-02
4d2To,45,1,1,Евроремонт,2025-12-02
4edTm,25,1,1,Средний,2025-12-02
4d2Pl,54,3,0,,2025-12-02
4bOUK,130,4,1,Евроремонт,2025-12-02
3T2Bs,43 000,3,1,Евроремонт,2025-12-02
3grM9,186,5,1,Средний,2025-12-02
4edOu,62,1,1,Евроремонт,2025-12-02
34zYs,71,3,1,Средний,2025-12-02
40BWe,53,2,1,Авторский проект,2025-12-02
4edHe,111,2,1,Евроремонт,2025-12-02
3R3eC,38.40,1,1,Евроремонт,2025-12-02
3tuGr,77,4,1,Авторский проект,2025-12-02
4dP3Q,60,2,1,Евроремонт,2025-12-02
4edzn,60,2,1,Евроремонт,2025-12-02
38tdM,90,3,1,Авторский проект,2025-12-02
4edta,60,2,1,,2025-12-02
4edxt,70,3,1,Евроремонт,2025-12-02
3ihwr,60,2,1,Авторский проект,2025-12-02
4edrs,78,3,1,Евроремонт,2025-12-02
38BMy,40,1,1,Авторский проект,2025-12-02
3buFG,61,3,1,Евроремонт,2025-12-02
3gAZ2,55,2,1,Евроремонт,2025-12-02
3prKq,37,1,1,Средний,2025-12-02
